AREA,AREA_TITLE,PRIM_STATE,GEOGRAPHY_TYPE,COVERAGE_STATUS
0014100,,,msa,geometry_only
0015680,,,msa,geometry_only
0016060,,,msa,geometry_only
0017460,,,msa,geometry_only
0019060,,,msa,geometry_only
0019180,,,msa,geometry_only
0019380,,,msa,geometry_only
0020700,,,msa,geometry_only
0031460,,,msa,geometry_only
0035100,,,msa,geometry_only
0036140,,,msa,geometry_only
0038220,,,msa,geometry_only
0039140,,,msa,geometry_only
0041900,,,msa,geometry_only
0045540,,,msa,geometry_only
0070750,,,msa,geometry_only
0070900,,,msa,geometry_only
0071650,,,msa,geometry_only
0071950,,,msa,geometry_only
0072400,,,msa,geometry_only
0072850,,,msa,geometry_only
0073050,,,msa,geometry_only
0073450,,,msa,geometry_only
0074500,,,msa,geometry_only
0074650,,,msa,geometry_only
0074950,,,msa,geometry_only
0075550,,,msa,geometry_only
0075700,,,msa,geometry_only
0076450,,,msa,geometry_only
0076600,,,msa,geometry_only
0076750,,,msa,geometry_only
0076900,,,msa,geometry_only
0077200,,,msa,geometry_only
0078100,,,msa,geometry_only
0078700,,,msa,geometry_only
0079600,,,msa,geometry_only
2500006,,,msa,geometry_only
2800001,,,msa,geometry_only
2800002,,,msa,geometry_only
2800003,,,msa,geometry_only
2800004,,,msa,geometry_only
3700004,,,msa,geometry_only
4500002,,,msa,geometry_only
4500004,,,msa,geometry_only
4500006,,,msa,geometry_only
4900006,,,msa,geometry_only
4900007,,,msa,geometry_only
0010180,"Abilene, TX",TX,msa,matched
0010380,"Aguadilla, PR",PR,msa,matched
0010420,"Akron, OH",OH,msa,matched
0010500,"Albany, GA",GA,msa,matched
0010540,"Albany, OR",OR,msa,matched
0010580,"Albany-Schenectady-Troy, NY",NY,msa,matched
0010740,"Albuquerque, NM",NM,msa,matched
0010780,"Alexandria, LA",LA,msa,matched
0010900,"Allentown-Bethlehem-Easton, PA-NJ",PA,msa,matched
0011020,"Altoona, PA",PA,msa,matched
0011100,"Amarillo, TX",TX,msa,matched
0011180,"Ames, IA",IA,msa,matched
0011260,"Anchorage, AK",AK,msa,matched
0011460,"Ann Arbor, MI",MI,msa,matched
0011500,"Anniston-Oxford, AL",AL,msa,matched
0011540,"Appleton, WI",WI,msa,matched
0011640,"Arecibo, PR",PR,msa,matched
0011700,"Asheville, NC",NC,msa,matched
0012020,"Athens-Clarke County, GA",GA,msa,matched
0012060,"Atlanta-Sandy Springs-Roswell, GA",GA,msa,matched
0012100,"Atlantic City-Hammonton, NJ",NJ,msa,matched
0012220,"Auburn-Opelika, AL",AL,msa,matched
0012260,"Augusta-Richmond County, GA-SC",GA,msa,matched
0012420,"Austin-Round Rock-San Marcos, TX",TX,msa,matched
0012540,"Bakersfield-Delano, CA",CA,msa,matched
