DATA_YEAR,GEOGRAPHY_TYPE,AREA,AREA_TITLE,PRIM_STATE,OCC_CODE,OCC_TITLE,H_PCT10,H_PCT10_SOURCE_LEVEL,H_PCT10_SOURCE_AREA,H_PCT25,H_PCT25_SOURCE_LEVEL,H_PCT25_SOURCE_AREA,H_MEDIAN,H_MEDIAN_SOURCE_LEVEL,H_MEDIAN_SOURCE_AREA,H_PCT75,H_PCT75_SOURCE_LEVEL,H_PCT75_SOURCE_AREA,H_PCT90,H_PCT90_SOURCE_LEVEL,H_PCT90_SOURCE_AREA,H_MEAN,H_MEAN_SOURCE_LEVEL,H_MEAN_SOURCE_AREA
2025,msa,0010180,"Abilene, TX",TX,13-1031,"Claims Adjusters, Examiners, and Investigators",17.1,local,0010180,17.1,local,0010180,17.1,local,0010180,24.63,local,0010180,36.73,local,0010180,22.7,local,0010180
2025,msa,0010180,"Abilene, TX",TX,47-2061,Construction Laborers,15.47,local,0010180,16.82,local,0010180,18.35,local,0010180,22.01,local,0010180,23.69,local,0010180,19.45,local,0010180
2025,msa,0010180,"Abilene, TX",TX,11-9021,Construction Managers,27.76,local,0010180,33.15,local,0010180,42.81,local,0010180,61.7,local,0010180,82.46,local,0010180,50.18,local,0010180
2025,msa,0010180,"Abilene, TX",TX,47-4011,Construction and Building Inspectors,20.29,local,0010180,24.64,local,0010180,27.69,local,0010180,30.62,local,0010180,41.47,local,0010180,28.87,local,0010180
2025,msa,0010180,"Abilene, TX",TX,13-1051,Cost Estimators,17.96,local,0010180,23.76,local,0010180,30.59,local,0010180,39.71,local,0010180,49.05,local,0010180,33.64,local,0010180
2025,msa,0010180,"Abilene, TX",TX,47-1011,First-Line Supervisors of Construction Trades,22.27,local,0010180,27.14,local,0010180,30.9,local,0010180,37.81,local,0010180,46.82,local,0010180,33.45,local,0010180
2025,msa,0010180,"Abilene, TX",TX,49-0000,"Installation, Maintenance, and Repair Occupations",15.04,local,0010180,18.52,local,0010180,23.78,local,0010180,31.56,local,0010180,39.19,local,0010180,26.42,local,0010180
2025,msa,0010180,"Abilene, TX",TX,41-3021,Insurance Sales Agents,17.01,local,0010180,17.55,local,0010180,24.02,local,0010180,49.58,local,0010180,57.4,local,0010180,32.42,local,0010180
2025,msa,0010180,"Abilene, TX",TX,11-3061,Purchasing Managers,41.51,state,0000048,50.96,state,0000048,64.75,state,0000048,81.7,state,0000048,102.09,state,0000048,69.96,state,0000048
2025,msa,0010180,"Abilene, TX",TX,47-2181,Roofers,16.41,state,0000048,18.0,state,0000048,22.13,state,0000048,25.78,state,0000048,29.59,state,0000048,22.69,state,0000048
2025,msa,0010380,"Aguadilla, PR",PR,13-1031,"Claims Adjusters, Examiners, and Investigators",15.44,local,0010380,17.52,local,0010380,30.29,local,0010380,45.44,local,0010380,49.7,local,0010380,32.08,local,0010380
2025,msa,0010380,"Aguadilla, PR",PR,47-2061,Construction Laborers,10.5,local,0010380,10.85,local,0010380,11.66,local,0010380,13.39,local,0010380,15.85,local,0010380,12.57,local,0010380
2025,msa,0010380,"Aguadilla, PR",PR,11-9021,Construction Managers,26.45,local,0010380,31.89,local,0010380,34.38,local,0010380,47.34,local,0010380,60.0,local,0010380,39.86,local,0010380
2025,msa,0010380,"Aguadilla, PR",PR,47-4011,Construction and Building Inspectors,10.5,local,0010380,10.5,local,0010380,18.46,local,0010380,35.54,local,0010380,42.49,local,0010380,22.47,local,0010380
2025,msa,0010380,"Aguadilla, PR",PR,13-1051,Cost Estimators,13.64,local,0010380,17.29,local,0010380,28.94,local,0010380,38.46,local,0010380,38.46,local,0010380,28.9,local,0010380
2025,msa,0010380,"Aguadilla, PR",PR,47-1011,First-Line Supervisors of Construction Trades,12.28,local,0010380,14.99,local,0010380,17.82,local,0010380,22.15,local,0010380,27.04,local,0010380,19.45,local,0010380
