roof_type,roof_shape,roof_deck_attachment,roof_deck_attachment_label,roof_wall_connection,size_bucket,min_roof_sqft,max_roof_sqft,occupation_code,occupation,roof_type_base_person_hours_per_sqft,shape_factor,deck_attachment_factor,wall_connection_factor,occupation_labor_share,scenario_total_base_person_hours_per_sqft,base_person_hours_per_sqft,startup_total_person_hours,startup_person_hours,source_id,evidence_type,confidence,calibration_status,notes
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",strap,small,0,1499.0,13-1031,"Claims Adjusters, Examiners, and Investigators",0.025,0.9,1.0,1.08,0.01,0.0243,0.000243,24.0,0.24,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",strap,small,0,1499.0,47-2061,Construction Laborers,0.025,0.9,1.0,1.08,0.2,0.0243,0.00486,24.0,4.8,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",strap,small,0,1499.0,11-9021,Construction Managers,0.025,0.9,1.0,1.08,0.05,0.0243,0.001215,24.0,1.2,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",strap,small,0,1499.0,47-4011,Construction and Building Inspectors,0.025,0.9,1.0,1.08,0.02,0.0243,0.000486,24.0,0.48,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",strap,small,0,1499.0,13-1051,Cost Estimators,0.025,0.9,1.0,1.08,0.03,0.0243,0.000729,24.0,0.72,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",strap,small,0,1499.0,47-1011,First-Line Supervisors of Construction Trades,0.025,0.9,1.0,1.08,0.07,0.0243,0.001701,24.0,1.68,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",strap,small,0,1499.0,49-0000,"Installation, Maintenance, and Repair Occupations",0.025,0.9,1.0,1.08,0.04,0.0243,0.000972,24.0,0.96,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",strap,small,0,1499.0,41-3021,Insurance Sales Agents,0.025,0.9,1.0,1.08,0.01,0.0243,0.000243,24.0,0.24,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",strap,small,0,1499.0,11-3061,Purchasing Managers,0.025,0.9,1.0,1.08,0.02,0.0243,0.000486,24.0,0.48,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",strap,small,0,1499.0,47-2181,Roofers,0.025,0.9,1.0,1.08,0.55,0.0243,0.013365,24.0,13.2,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",strap,medium,1500,3000.0,13-1031,"Claims Adjusters, Examiners, and Investigators",0.025,0.9,1.0,1.08,0.01,0.0243,0.000243,16.0,0.16,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",strap,medium,1500,3000.0,47-2061,Construction Laborers,0.025,0.9,1.0,1.08,0.2,0.0243,0.00486,16.0,3.2,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",strap,medium,1500,3000.0,11-9021,Construction Managers,0.025,0.9,1.0,1.08,0.05,0.0243,0.001215,16.0,0.8,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",strap,medium,1500,3000.0,47-4011,Construction and Building Inspectors,0.025,0.9,1.0,1.08,0.02,0.0243,0.000486,16.0,0.32,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
asphalt_3_tab,flat,6d_6in_12in,"6d @ 6""/12""",strap,medium,1500,3000.0,13-1051,Cost Estimators,0.025,0.9,1.0,1.08,0.03,0.0243,0.000729,16.0,0.48,ASSUMPTION_V1,assumption,low,provisional,Initial seed; replace or calibrate against documented evidence.
