zip,geoid,city,state,res_ratio,bus_ratio,oth_ratio,tot_ratio,year,quarter,crosswalk_type
00501,35620,HOLTSVILLE,NY,0.0,1.0,0.0,1.0,2026,1,zip-cbsa
00601,29720,ADJUNTAS,PR,0.0025484199796126403,0.005063291139240506,0.012048192771084338,0.002947107181634869,2026,1,zip-cbsa
00601,99999,ADJUNTAS,PR,0.9974515800203874,0.9949367088607595,0.9879518072289156,0.9970528928183652,2026,1,zip-cbsa
00602,10380,AGUADA,PR,1.0,1.0,1.0,1.0,2026,1,zip-cbsa
00603,10380,AGUADILLA,PR,1.0,1.0,1.0,1.0,2026,1,zip-cbsa
00604,10380,AGUADILLA,PR,1.0,1.0,1.0,1.0,2026,1,zip-cbsa
00605,10380,AGUADILLA,PR,1.0,1.0,1.0,1.0,2026,1,zip-cbsa
00606,99999,MARICAO,PR,1.0,1.0,1.0,1.0,2026,1,zip-cbsa
00610,10380,ANASCO,PR,1.0,1.0,1.0,1.0,2026,1,zip-cbsa
00611,46580,ANGELES,PR,1.0,1.0,1.0,1.0,2026,1,zip-cbsa
00612,11640,ARECIBO,PR,0.997185938090638,1.0,0.9985443959243085,0.9974825071267261,2026,1,zip-cbsa
00612,46580,ARECIBO,PR,0.00021000462010164223,0.0,0.001455604075691412,0.00022213172411239866,2026,1,zip-cbsa
00612,41980,ARECIBO,PR,0.002604057289260364,0.0,0.0,0.002295361149161453,2026,1,zip-cbsa
00613,11640,ARECIBO,PR,1.0,1.0,1.0,1.0,2026,1,zip-cbsa
00614,11640,ARECIBO,PR,1.0,1.0,1.0,1.0,2026,1,zip-cbsa
00616,11640,BAJADERO,PR,1.0,1.0,1.0,1.0,2026,1,zip-cbsa
00617,41980,BARCELONETA,PR,1.0,1.0,1.0,1.0,2026,1,zip-cbsa
00622,32420,BOQUERON,PR,1.0,1.0,1.0,1.0,2026,1,zip-cbsa
00623,32420,CABO ROJO,PR,1.0,1.0,1.0,1.0,2026,1,zip-cbsa
00624,38660,PENUELAS,PR,1.0,1.0,1.0,1.0,2026,1,zip-cbsa
00627,11640,CAMUY,PR,1.0,1.0,1.0,1.0,2026,1,zip-cbsa
00631,29720,CASTANER,PR,0.0,0.0,1.0,1.0,2026,1,zip-cbsa
00637,32420,SABANA GRANDE,PR,1.0,1.0,1.0,1.0,2026,1,zip-cbsa
00638,41980,CIALES,PR,1.0,1.0,1.0,1.0,2026,1,zip-cbsa
00641,46580,UTUADO,PR,0.9960815834421782,1.0,1.0,0.9963811821471653,2026,1,zip-cbsa
00641,38660,UTUADO,PR,0.003918416557821762,0.0,0.0,0.0036188178528347406,2026,1,zip-cbsa
00646,41980,DORADO,PR,1.0,1.0,1.0,1.0,2026,1,zip-cbsa
00647,32420,ENSENADA,PR,0.004005722460658083,0.0,0.0,0.003878116343490305,2026,1,zip-cbsa
00647,99999,ENSENADA,PR,0.9959942775393419,1.0,1.0,0.9961218836565097,2026,1,zip-cbsa
00650,41980,FLORIDA,PR,0.9989200863930886,1.0,1.0,0.9989556135770234,2026,1,zip-cbsa
00650,11640,FLORIDA,PR,0.0010799136069114472,0.0,0.0,0.0010443864229765013,2026,1,zip-cbsa
00652,11640,GARROCHALES,PR,1.0,1.0,1.0,1.0,2026,1,zip-cbsa
00653,99999,GUANICA,PR,0.9966448582452608,1.0,1.0,0.9968389442073653,2026,1,zip-cbsa
00653,38660,GUANICA,PR,0.003355141754739138,0.0,0.0,0.00316105579263474,2026,1,zip-cbsa
00656,38660,GUAYANILLA,PR,1.0,1.0,1.0,1.0,2026,1,zip-cbsa
00659,11640,HATILLO,PR,1.0,1.0,1.0,1.0,2026,1,zip-cbsa
00660,32420,HORMIGUEROS,PR,1.0,1.0,1.0,1.0,2026,1,zip-cbsa
00662,10380,ISABELA,PR,0.999141760904685,1.0,1.0,0.9992072374556986,2026,1,zip-cbsa
00662,11640,ISABELA,PR,0.0008582390953150242,0.0,0.0,0.0007927625443014363,2026,1,zip-cbsa
00664,99999,JAYUYA,PR,1.0,1.0,1.0,1.0,2026,1,zip-cbsa
00667,32420,LAJAS,PR,1.0,1.0,1.0,1.0,2026,1,zip-cbsa
00669,29720,LARES,PR,1.0,1.0,1.0,1.0,2026,1,zip-cbsa
00670,99999,LAS MARIAS,PR,1.0,1.0,1.0,1.0,2026,1,zip-cbsa
00674,41980,MANATI,PR,1.0,1.0,1.0,1.0,2026,1,zip-cbsa
00676,10380,MOCA,PR,1.0,1.0,1.0,1.0,2026,1,zip-cbsa
00677,10380,RINCON,PR,1.0,1.0,1.0,1.0,2026,1,zip-cbsa
